-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.026,  0.214
-183.799, 80.193, 0.122,  0.247
-183.797, 80.185, 0.269,  0.280
-183.793, 80.173, 0.369,  0.313
-183.789, 80.158, 0.466,  0.346
-183.784, 80.138, 0.605,  0.379
-183.778, 80.112, 0.820,  0.412
-183.769, 80.078, 1.029,  0.445
-183.759, 80.038, 1.217,  0.478
-183.747, 79.992, 1.400,  0.511
-183.734, 79.941, 1.561,  0.544
-183.720, 79.886, 1.684,  0.577
-183.705, 79.830, 1.711,  0.610
-183.691, 79.775, 1.684,  0.643
-183.677, 79.722, 1.650,  0.676
-183.662, 79.670, 1.619,  0.709
-183.648, 79.619, 1.590,  0.742
-183.634, 79.569, 1.558,  0.775
-183.620, 79.520, 1.527,  0.808
-183.606, 79.472, 1.500,  0.841
-183.592, 79.425, 1.479,  0.874
-183.579, 79.378, 1.468,  0.907
-183.565, 79.331, 1.467,  0.940
-183.550, 79.283, 1.474,  0.973
-183.536, 79.236, 1.490,  1.006
-183.521, 79.187, 1.512,  1.039
-183.506, 79.138, 1.537,  1.072
-183.490, 79.088, 1.562,  1.105
-183.475, 79.037, 1.585,  1.138
-183.458, 78.986, 1.603,  1.171
-183.442, 78.934, 1.616,  1.204
-183.426, 78.882, 1.623,  1.237
-183.409, 78.830, 1.625,  1.270
-183.392, 78.779, 1.623,  1.303
-183.376, 78.727, 1.618,  1.336
-183.359, 78.676, 1.613,  1.369
-183.342, 78.625, 1.609,  1.402
-183.326, 78.574, 1.606,  1.435
-183.309, 78.522, 1.606,  1.468
-183.292, 78.471, 1.609,  1.501
-183.275, 78.420, 1.614,  1.534
-183.258, 78.369, 1.622,  1.567
-183.240, 78.317, 1.631,  1.600
-183.223, 78.265, 1.641,  1.633
-183.205, 78.213, 1.651,  1.666
-183.188, 78.160, 1.661,  1.699
-183.170, 78.107, 1.670,  1.732
