1.847, 1.768, 0.0785, 22.9266, 0.0003 0.3338, 0.3220 
1.853, 1.774, 0.0791, 23.0057, 0.0006 0.3360, 0.3239 
1.858, 1.779, 0.0790, 23.0847, -0.0001 0.3359, 0.3239 
1.864, 1.784, 0.0800, 23.1647, 0.0010 0.3391, 0.3267 
1.870, 1.789, 0.0810, 23.2457, 0.0010 0.3422, 0.3294 
1.875, 1.794, 0.0809, 23.3266, -0.0001 0.3423, 0.3295 
1.881, 1.799, 0.0817, 23.4084, 0.0008 0.3449, 0.3319 
1.887, 1.804, 0.0824, 23.4907, 0.0006 0.3470, 0.3337 
1.893, 1.810, 0.0828, 23.5735, 0.0004 0.3485, 0.3350 
1.898, 1.816, 0.0820, 23.6555, -0.0008 0.3467, 0.3334 
1.904, 1.822, 0.0824, 23.7379, 0.0004 0.3485, 0.3350 
1.910, 1.828, 0.0823, 23.8202, -0.0001 0.3487, 0.3352 
1.915, 1.834, 0.0812, 23.9013, -0.0012 0.3461, 0.3329 
1.921, 1.840, 0.0810, 23.9823, -0.0002 0.3464, 0.3332 
1.927, 1.846, 0.0810, 24.0633, -0.0000 0.3468, 0.3335 
1.933, 1.852, 0.0810, 24.1443, 0.0000 0.3474, 0.3341 
1.939, 1.858, 0.0811, 24.2254, 0.0001 0.3482, 0.3348 
1.945, 1.864, 0.0813, 24.3067, 0.0002 0.3491, 0.3356 
1.951, 1.869, 0.0815, 24.3883, 0.0002 0.3501, 0.3365 
1.957, 1.875, 0.0817, 24.4699, 0.0002 0.3511, 0.3373 
1.963, 1.881, 0.0818, 24.5518, 0.0002 0.3519, 0.3381 
1.969, 1.887, 0.0820, 24.6337, 0.0001 0.3527, 0.3388 
1.975, 1.893, 0.0820, 24.7157, 0.0001 0.3533, 0.3393 
1.981, 1.899, 0.0820, 24.7978, 0.0000 0.3539, 0.3398 
1.987, 1.905, 0.0820, 24.8798, -0.0000 0.3543, 0.3402 
1.994, 1.911, 0.0829, 24.9627, 0.0009 0.3573, 0.3428 
2.000, 1.917, 0.0828, 25.0455, -0.0001 0.3573, 0.3428 
2.005, 1.923, 0.0822, 25.1278, -0.0006 0.3562, 0.3419 
2.012, 1.929, 0.0829, 25.2107, 0.0007 0.3587, 0.3441 
2.018, 1.935, 0.0826, 25.2933, -0.0003 0.3582, 0.3437 
2.024, 1.942, 0.0822, 25.3756, -0.0004 0.3578, 0.3433 
2.030, 1.948, 0.0819, 25.4574, -0.0004 0.3574, 0.3429 
2.037, 1.954, 0.0826, 25.5400, 0.0007 0.3598, 0.3451 
2.043, 1.961, 0.0823, 25.6224, -0.0002 0.3595, 0.3448 
2.049, 1.967, 0.0821, 25.7044, -0.0003 0.3593, 0.3446 
2.056, 1.973, 0.0828, 25.7872, 0.0008 0.3619, 0.3469 
2.062, 1.979, 0.0826, 25.8698, -0.0002 0.3617, 0.3467 
2.069, 1.986, 0.0833, 25.9532, 0.0007 0.3641, 0.3488 
2.075, 1.992, 0.0830, 26.0361, -0.0003 0.3636, 0.3484 
2.082, 1.998, 0.0836, 26.1197, 0.0006 0.3657, 0.3503 
2.088, 2.005, 0.0831, 26.2028, -0.0005 0.3649, 0.3495 
2.095, 2.011, 0.0836, 26.2864, 0.0005 0.3667, 0.3511 
2.101, 2.018, 0.0830, 26.3694, -0.0006 0.3656, 0.3501 
2.108, 2.024, 0.0833, 26.4527, 0.0003 0.3671, 0.3514 
2.115, 2.031, 0.0837, 26.5364, 0.0004 0.3686, 0.3528 
2.121, 2.037, 0.0831, 26.6195, -0.0006 0.3674, 0.3517 
2.127, 2.044, 0.0835, 26.7030, 0.0003 0.3689, 0.3531 
2.134, 2.051, 0.0838, 26.7868, 0.0004 0.3704, 0.3544 
2.140, 2.057, 0.0832, 26.8700, -0.0007 0.3691, 0.3532 
2.147, 2.064, 0.0835, 26.9535, 0.0003 0.3705, 0.3545 
2.154, 2.070, 0.0839, 27.0374, 0.0004 0.3720, 0.3557 
2.161, 2.077, 0.0842, 27.1216, 0.0003 0.3733, 0.3569 
2.167, 2.084, 0.0835, 27.2051, -0.0007 0.3718, 0.3555 
2.174, 2.091, 0.0837, 27.2888, 0.0002 0.3730, 0.3566 
2.181, 2.097, 0.0840, 27.3728, 0.0003 0.3742, 0.3577 
2.188, 2.104, 0.0842, 27.4570, 0.0003 0.3754, 0.3587 
2.195, 2.111, 0.0845, 27.5415, 0.0002 0.3765, 0.3596 
2.202, 2.117, 0.0846, 27.6261, 0.0002 0.3774, 0.3604 
2.209, 2.124, 0.0849, 27.7110, 0.0003 0.3785, 0.3614 
2.216, 2.131, 0.0849, 27.7959, -0.0000 0.3790, 0.3618 
2.223, 2.138, 0.0848, 27.8807, -0.0001 0.3793, 0.3621 
2.230, 2.145, 0.0847, 27.9654, -0.0001 0.3795, 0.3623 
2.237, 2.153, 0.0846, 28.0499, -0.0001 0.3797, 0.3624 
2.244, 2.160, 0.0845, 28.1344, -0.0001 0.3799, 0.3627 
2.251, 2.167, 0.0844, 28.2188, -0.0001 0.3803, 0.3630 
2.259, 2.174, 0.0854, 28.3042, 0.0010 0.3835, 0.3657 
2.266, 2.181, 0.0853, 28.3895, -0.0000 0.3837, 0.3659 
2.273, 2.188, 0.0852, 28.4747, -0.0001 0.3839, 0.3660 
2.280, 2.195, 0.0850, 28.5598, -0.0002 0.3839, 0.3661 
2.287, 2.202, 0.0848, 28.6446, -0.0002 0.3840, 0.3661 
2.295, 2.209, 0.0857, 28.7303, 0.0008 0.3868, 0.3686 
2.302, 2.216, 0.0855, 28.8158, -0.0002 0.3867, 0.3685 
2.309, 2.223, 0.0857, 28.9016, 0.0002 0.3878, 0.3694 
2.316, 2.231, 0.0855, 28.9870, -0.0003 0.3875, 0.3692 
2.324, 2.238, 0.0862, 29.0732, 0.0007 0.3900, 0.3713 
2.331, 2.245, 0.0858, 29.1590, -0.0003 0.3895, 0.3709 
2.339, 2.253, 0.0865, 29.2455, 0.0006 0.3918, 0.3729 
2.346, 2.260, 0.0861, 29.3316, -0.0004 0.3911, 0.3723 
2.354, 2.267, 0.0866, 29.4182, 0.0005 0.3932, 0.3741 
2.361, 2.275, 0.0861, 29.5043, -0.0005 0.3923, 0.3733 
2.369, 2.282, 0.0866, 29.5910, 0.0005 0.3942, 0.3750 
2.377, 2.290, 0.0871, 29.6781, 0.0005 0.3960, 0.3765 
2.384, 2.297, 0.0865, 29.7646, -0.0006 0.3948, 0.3755 
2.392, 2.305, 0.0869, 29.8516, 0.0004 0.3965, 0.3769 
2.400, 2.312, 0.0873, 29.9389, 0.0004 0.3980, 0.3782 
2.407, 2.320, 0.0867, 30.0255, -0.0007 0.3967, 0.3771 
2.414, 2.328, 0.0867, 30.1122, -0.0000 0.3973, 0.3776 
2.422, 2.335, 0.0870, 30.1992, 0.0004 0.3989, 0.3790 
2.430, 2.343, 0.0875, 30.2867, 0.0004 0.4005, 0.3803 
2.438, 2.350, 0.0878, 30.3745, 0.0004 0.4019, 0.3816 
2.446, 2.358, 0.0881, 30.4627, 0.0003 0.4032, 0.3827 
2.454, 2.366, 0.0883, 30.5510, 0.0002 0.4042, 0.3835 
2.461, 2.374, 0.0875, 30.6385, -0.0009 0.4023, 0.3819 
2.469, 2.381, 0.0876, 30.7260, 0.0001 0.4033, 0.3827 
2.477, 2.389, 0.0878, 30.8138, 0.0002 0.4043, 0.3836 
2.485, 2.397, 0.0880, 30.9018, 0.0002 0.4054, 0.3846 
2.493, 2.405, 0.0882, 30.9900, 0.0002 0.4066, 0.3856 
2.501, 2.412, 0.0885, 31.0785, 0.0002 0.4076, 0.3865 
2.510, 2.420, 0.0896, 31.1681, 0.0012 0.4113, 0.3896 
2.518, 2.428, 0.0896, 31.2577, -0.0000 0.4115, 0.3897 
2.526, 2.436, 0.0894, 31.3471, -0.0001 0.4117, 0.3899 
2.534, 2.444, 0.0892, 31.4364, -0.0002 0.4116, 0.3899 
2.542, 2.453, 0.0890, 31.5253, -0.0002 0.4116, 0.3898 
2.550, 2.461, 0.0888, 31.6141, -0.0002 0.4116, 0.3898 
2.558, 2.469, 0.0897, 31.7038, 0.0009 0.4145, 0.3923 
2.566, 2.477, 0.0895, 31.7933, -0.0001 0.4146, 0.3924 
2.574, 2.485, 0.0894, 31.8827, -0.0002 0.4148, 0.3925 
2.583, 2.493, 0.0903, 31.9730, 0.0009 0.4177, 0.3950 
